text,category
I need assistance completing a transfer. I'm trying to purchase a flat and need the money for the initial mortgage payment. I keep getting an error and the transfer is not going through. What is going on here?,failed_transfer
How do I initiated a bank transfer to top up?,transfer_into_account
How do I know where my funds come from?,verify_source_of_funds
Where do my available funds come from?,verify_source_of_funds
Why can't my beneficiary access my account?,beneficiary_not_allowed
when will I get my refund?,Refund_not_showing_up
How can I create a disposable virtual card?,get_disposable_virtual_card
Why did my top-up fail?,top_up_failed
"My money is gone. I had topped up recently and saw it was there and went through, but now it's disappeared, what's going on?",top_up_reverted
I don't understand why my card payment is pending.  It has been pending for too long.  Why is this and when might it go through?,pending_card_payment
I need assistance with transferring funds to another account.,transfer_into_account
Can I use top-up with Apple pay?,apple_pay_or_google_pay
"Hello, can you please inform me about international transfers? I am expecting a transfer I made from France two days ago and would like to know when it will arrive.",balance_not_updated_after_bank_transfer
My statement shows an extra fee - what is it?,extra_charge_on_statement
Which ATMs accept this bill of fare ?,atm_support
How can I find out about an extra fee on my statement?,extra_charge_on_statement
How do I take a block off my card?,pin_blocked
"I don't know what's wrong with my card, but it has not worked at multiple places today.",card_not_working
"I am having issues using contactless payments, could my card be damaged?",contactless_not_working
When can I expect the transfer to be complete?,transfer_timing
Why do you need so much information about me,why_verify_identity
Why was my cash withdrawal cancelled at the ATM?,declined_cash_withdrawal
What is the procedure for me to get more cards on my account?,getting_spare_card
Where should I look for my PIN number at?,get_physical_card
Whats the minimum age to have an account,age_limit
Is there a problem with the top up system? My transaction hasn't gone through properly,pending_top_up
Am I limited on the amount of disposable cards I can possess?,disposable_card_limits
Can I get a card in the US?,country_support
How do I activate my new card I just got?,activate_my_card
I added money through a bank transfer and it is not showing in my balance.,balance_not_updated_after_bank_transfer
In my account I noticed my ATM withdrawal is still pending,pending_cash_withdrawal
I only have a card from the US is that okay?,supported_cards_and_currencies
My balance is not what I thought it was following an ATM withdrawal,pending_cash_withdrawal
My card is about to expired what will happen?,card_about_to_expire
what is going on with my cash withdrawal? the exchange rate is wrong,wrong_exchange_rate_for_cash_withdrawal
How can I get my card out of the ATM?,card_swallowed
"My card is going to expire, what do I do?",card_about_to_expire
"When exchanging currencies, is there an extra fee?",exchange_charge
I am not satisfied with your service.  Close my account.,terminate_account
I transferred some money but the balance stayed the same.,balance_not_updated_after_bank_transfer
"There seems to be an additional charge of £1 on my statement, what is the reason for this?",extra_charge_on_statement
How do I activate my new card,activate_my_card
What is the appropriate age for my child to be able to open an account?,age_limit
my phone was lost,lost_or_stolen_phone
What kind of businesses will take my card?,card_acceptance
I entered my pin wrong  too many times.,pin_blocked
Why is the exchange rate on my card payment different than I expected?,card_payment_wrong_exchange_rate
How can I create another card linked to this account?,getting_spare_card
How do I create a disposable virtual card?,get_disposable_virtual_card
I AM MISSING CASH FROM MY BANK ACCOUNT ACCORDING TO MY APP,cash_withdrawal_not_recognised
Why is my beneficiary not allowed?,beneficiary_not_allowed
This transaction needs both a Visa and a Mastercard.,visa_or_mastercard
can i get a physical card online,order_physical_card
I can't do any business with this virtual card.,virtual_card_not_working
I'm supposed to have a refund but it isn't there,Refund_not_showing_up
I can't see my refund in my history.,Refund_not_showing_up
I need to get visa and mastercard,visa_or_mastercard
I need to change a transfer.,cancel_transfer
There is a direct debit payment I don't recognize.,direct_debit_payment_not_recognised
I tried entering my pin several times incorrectly. Why isn't my pin working?,pin_blocked
If I don't have all my documents can they still verify my identity?,verify_my_identity
Where can I update my pin number?,change_pin
What happened to the money that I deposited?,top_up_reverted
Why is there a 1 euro fee on my statement?,extra_charge_on_statement
Changing my PIN,change_pin
Help me!  I don't know what my password is.,passcode_forgotten
My payment was declined,declined_card_payment
I would like help to revert a transaction I did this morning,cancel_transfer
What is the exchange fee that is charged?,exchange_charge
how much for a physical card?,order_physical_card
I'm not sure how disposable virtual cards work. Please help.,get_disposable_virtual_card
"Hey, I have my card, how do I get it to show in the app?",card_linking
Please verify my source of funds.,verify_source_of_funds
Can I use a Visa or Mastercard?,visa_or_mastercard
Why hasn't my balance been updated from the check deposit I made?,balance_not_updated_after_cheque_or_cash_deposit
Can I give a second card for this account to my daughter?,getting_spare_card
My top up card needs verification and I don't know how to do it,verify_top_up
How do I top-up automatically?,automatic_top_up
Why is there a verification to identity,why_verify_identity
How long will a transaction to a friend take?,transfer_not_received_by_recipient
"My top up has been pending for an hour already, and I really need this to go through as soon as possible.  Can you help?",pending_top_up
Why is my transfer taking so long to complete?,transfer_not_received_by_recipient
My money disappeared right when I tried to top up,topping_up_by_card
Can you tell me how I would go about learning where my funds came from?,verify_source_of_funds
Why am I seeing a transfer fee on my bank statement?,transfer_fee_charged
I would like a virtual card...how do I get one?,getting_virtual_card
I need my PIN unlocked.,pin_blocked
Why hasn't my payment gone through?,pending_card_payment
How long does it take for me to get my pin,get_physical_card
"Hello,  I am a college student who I recently attended my high school reunion at a local restaurant. I paid with my credit card and now my transaction history reflects a second charge of the seemingly same payment. What could be the reason for this?  Is there any way to have the fraudulent  payment credited back onto my card?",transaction_charged_twice
How long will a transfer from Europe take?,transfer_timing
How can I locate the virtual card?,getting_virtual_card
"I got my American Express in Apple Pay, why is top up not working in my country?",apple_pay_or_google_pay
What does it cost to receive a SEPA transfer?,top_up_by_bank_transfer_charge
I need to get my card quickly,card_delivery_estimate
Am I allowed to transfer money to a beneficiary?,beneficiary_not_allowed
"I sent money to someone but they haven't gotten it, what's going on?",transfer_not_received_by_recipient
"I seem to have been charged to much for my holiday purchases, the exchange rate is wrong.",card_payment_wrong_exchange_rate
why do i have a failed transfer,failed_transfer
"Would you please tell me the status of my refund request for a large purchase I made not long ago? I contacted the merchant nearly a week ago, but haven't received it.",Refund_not_showing_up
Where is my virtual card?,getting_virtual_card
My ATM withdrawal was declined.,declined_cash_withdrawal
I have an outgoing transaction,pending_transfer
There is a payment that is not mine in the App.,card_payment_not_recognised
How can I receive verification for the source of my funds?,verify_source_of_funds
Is topping up with Apple Pay possible?,apple_pay_or_google_pay
The top-up did not go through.,top_up_failed
Why is identity verification required?,why_verify_identity
I see a direct debit transaction in my app that I didn't make.,direct_debit_payment_not_recognised
how long does a US transfer take,transfer_timing
Can the card was sen to me be tracked?,card_arrival
my top up isnt there yet where do i find it,topping_up_by_card
In what places can I use my card?,card_acceptance
Who should I contact if the amount of my withdrawal doesn't correspond to the amount that I tried to take out of my account?,wrong_amount_of_cash_received
"The activation process did not work, please help?",activate_my_card
Is my transfer pending?,pending_transfer
What happens if the ATM gives me the wrong amount of money?,wrong_amount_of_cash_received
I was charged twice for a few things this week when I only bought one. What do I do?,transaction_charged_twice
Why should I verify the top-up?,verify_top_up
"Hello, I have tried using crypto top up but it is not working. I had some money in my account but I'm not sure what happened",top_up_reverted
Are cards available in the EU?,country_support
This isn't fair! I thought transfers could be made for free. I just made  a purchase online from abroad and now see some strange fee that I've never seen before.,transfer_fee_charged
How many transactions can I do with my disposable card?,disposable_card_limits
What do you use disposable cards on?,get_disposable_virtual_card
I would like to dispute a payment I didnt make,direct_debit_payment_not_recognised
I'm checking the app and I see a payment that's not mine.,card_payment_not_recognised
Can you tell me how I go about activating a new card?,activate_my_card
Why is the payment on my card still pending?,pending_card_payment
What's the fee for exchange of foreign currencies?,exchange_charge
is there a frequent currency discount?,exchange_charge
Where can virtual cards be ordered?,getting_virtual_card
How do I check to see why my card payment was declined?,declined_card_payment
Which fiat currencies are compatible for exchange and holding?,fiat_currency_support
I can't get any money from my account.,declined_cash_withdrawal
Is the 1 pound charge going to be reimbursed on my card?,extra_charge_on_statement
What fiat currencies are used for exchange?,fiat_currency_support
What should I do if I think someone stole my details and used my information to make some transactions?,compromised_card
My cash withdrawal shows as pending still.,pending_cash_withdrawal
Help me delete my account.  I am not satisfied with the service.,terminate_account
Currently I can't get my card to work.,card_not_working
My refund is still pending,Refund_not_showing_up
Can you tell me why my card is not working? I keep trying to use it but it keeps rejecting my payment. I am being careful and entering the info correctly but it still happens.,declined_card_payment
My app was on the phone and I was mugged.  What do I do?,lost_or_stolen_phone
What is the max amount of top-ups?,top_up_limits
"Why won't you take my transfer, I keep getting an error message.",beneficiary_not_allowed
I got a fee when paying with my card,card_payment_fee_charged
Where is my new card if I haven't received it yet?,card_arrival
How come I have pending transfers?,pending_transfer
Top up keeps failing,top_up_failed
I use this card all the time so why did it get declined at the store today?,declined_card_payment
How do I make my transfer go through,declined_transfer
Why does a cash withdrawal show as pending?,pending_cash_withdrawal
"I've been waiting a while for my card, is there a way to know when it will arrive?",card_arrival
Is there a way to see my money's source?,verify_source_of_funds
Do you have the best exchange rate?,exchange_rate
Why am I being charged for transfers? Are they not free?,transfer_fee_charged
Tell me how to change my details.,edit_personal_details
Why did I get less from the ATM?,wrong_amount_of_cash_received
"I would like to order a virtual card, where can I get one?",getting_virtual_card
When going to the ATM to take out some cash today my withdrawal was  declined.  I need to fix this problem as soon as possible. whats going on?,declined_cash_withdrawal
I wanted to know why a top-up I made has been reverted.,top_up_reverted
Which countries do you support?,country_support
How can I top up my account by bank transfer?,transfer_into_account
What steps can I take if someone else is using my card?,compromised_card
I need a new card because the ATM took mine.,card_swallowed
Is there such thing as an auto top-up option?,automatic_top_up
The top up failed,top_up_failed
A transfer has been made in my account that I need to cancel.  This was a mistake on my part and I hope we can get this resolved quickly.,cancel_transfer
What do I need to do to receive my payroll in the account?,receiving_money
I'm still waiting for a money transfer to show.,pending_transfer
The app shows a withdrawal that I did not make or authorize.,cash_withdrawal_not_recognised
What factors effect the exchange rate?,exchange_rate
How do I verify my ID?,verify_my_identity
"Everything I have was stolen yesterday making it so I don't have access to the app, what should I do?",lost_or_stolen_phone
Why is there an identify check?,why_verify_identity
What are the steps for the identity checks?,verify_my_identity
is there a fee for swift transfer,top_up_by_bank_transfer_charge
"Hearing about your verification results from us may take anywhere from 10 minutes to approximately one hour.  If this verification has in fact, failed, double-check to make sure that your images are clear.  Also make sure that your document photos have no blur or glare. They need to be readable.  You must also be 18 years of age or older and be a resident of Switzerland or the European Economic Area to open an account.",unable_to_verify_identity
I just got my new card.  How can I activate it?,activate_my_card
I didn't make this payment and it's on my app,card_payment_not_recognised
How do I go forth on holding money in multiple currencies?,fiat_currency_support
What are the currency exchange fees?,exchange_charge
Will I be charged for adding money using an international card?,top_up_by_card_charge
can i use my mastercard to add money to my account,supported_cards_and_currencies
Why do you need so much id info from me?,why_verify_identity
What all is needed for the identity verification?,verify_my_identity
I need to change my data.,edit_personal_details
Do you charge extra for duplicate cards?,getting_spare_card
I think my top up has been reverted,top_up_reverted
"If I see a payment in the app that I don't recognize, what should I do?",card_payment_not_recognised
What should I do if I don't know my password?,passcode_forgotten
"I transferred money to another country several days ago, but my transaction is still pending. i have checked that the accounts are keyed in correctly. what sees to be the problem?",pending_transfer
"I am unable to activate my card, it won't let me.",activate_my_card
I was not distributed all of cash that I requested,wrong_amount_of_cash_received
Why hasn't my transfer gone through,failed_transfer
Where are the virtual cards?,getting_virtual_card
Why was I charged a fee for debit or credit card payment?,card_payment_fee_charged
I was charged an extra fee for a card payment. I was unaware of these fees beforehand.,card_payment_fee_charged
Does it cost anything to buy something from another country? Like is there going to be hidden transfer fees or currency conversion fees?,transfer_fee_charged
I had to pay a fee when buying items with my card.,card_payment_fee_charged
Can I select my card scheme or do you choose it for me?,visa_or_mastercard
It's requiring me to verify my identity?,why_verify_identity
I was wondering if you will take any fees in exchange for top ups?,top_up_by_card_charge
When will my cheque be processed?,balance_not_updated_after_cheque_or_cash_deposit
I'm confused as to why my transfer is still listed as pending on the website.,pending_transfer
can i get a card if I live in the usa?,country_support
Transfer was declined.,declined_transfer
I can't find any option to top up with a cheque?,top_up_by_cash_or_cheque
I would like to cancel my account.,terminate_account
The exchange rate is incorrect for my cash withdrawal transaction.,wrong_exchange_rate_for_cash_withdrawal
Please cancel the transfer I just made.  I put in the wrong account number and can't seem to stop it on the app.,cancel_transfer
Do I need to order a new card if mine is expiring?,card_about_to_expire
How long will it take for my transfer to arrive?,transfer_not_received_by_recipient
I transferred money but the recipient does not see the funds in their account?,transfer_not_received_by_recipient
My disposable virtual card was rejected.,virtual_card_not_working
Whats the limit on my top up,top_up_limits
I wish to be able to top up with cash.,top_up_by_cash_or_cheque
"I want to top up by transfering accounts, What do I do?",transfer_into_account
My transfer to a beneficiary was rejected.,beneficiary_not_allowed
How can I fix my contactless?,contactless_not_working
Tell me how a top up would be reverted.,top_up_reverted
My card was declined at a restaurant today and I don't know what the problem is.,card_not_working
I made a transfer into my account and now I need to cancel it,cancel_transfer
How to receive transfers from my employer when I get paid in GBP?,receiving_money
How is the PIN delivered?,get_physical_card
Is there a fee to add money to an international card?,top_up_by_card_charge
Will I be charged for adding money by transfer?,top_up_by_bank_transfer_charge
"I might need to exchange between USD and GBP, is this possible with your app?",exchange_via_app
Can you track my card for me?,card_arrival
Tell me if there is a top-up limit.,top_up_limits
is there a limit on top ups,top_up_limits
Hello I have a UK account.  Can you please check if everything is alright with it?  I made a transfer a couple hours ago but it doesn't show up yet.,balance_not_updated_after_bank_transfer
"For you, how long do transfers normally take from a UK account? I completed one just now but nothing appears. I just need to be sure everything is okay.",balance_not_updated_after_bank_transfer
Help me get the virtual card working.,virtual_card_not_working
Why did I get charged for a withdrawal?,cash_withdrawal_charge
My card payment has been declined,declined_card_payment
How much is the charge to top up via credit card?,top_up_by_card_charge
"If someone in a different country sends me money, do I have to pay a fee?",exchange_charge
"I'd rather not use my physical card, how can I get a virtual card?",getting_virtual_card
why didnt my account allow a transfer,beneficiary_not_allowed
I was supposed to get a refund but I do not see it.,Refund_not_showing_up
I'm a new customer and tried topping up today for the first time. It's still pending and doesn't seem to be working. I need to get this fixed.,pending_top_up
Can my job deposit my wages directly into the account.,receiving_money
Anytime I've made an ATM withdrawal before it has always been free. I now say that I have been charged for my most recent ATM withdrawal. What's going on here?,cash_withdrawal_charge
Can I change or hold different currency?,fiat_currency_support
How do I get my card back quickly from a bank machine that it?,card_swallowed
Can I use my American Express card to add money into my account?,supported_cards_and_currencies
Which cards do you support for top up?,supported_cards_and_currencies
"I made a transfer and according to the receiver ""they haven't received the right amount"" Its lesser than it should be.Now I have to transfer more money to make up for the missing amount . Can you please help me about this,what should be done",transfer_fee_charged
Which fiat currencies do you currently support? Will this change in this future?,fiat_currency_support
"I was charged twice for a restaurant, can you take the second charge off?",transaction_charged_twice
How long will I have to wait for my money to be in my account?,transfer_timing
what are the reasons why you would not be able to process a payment,beneficiary_not_allowed
I was charged a fee when buying stuff with my card.,card_payment_fee_charged
Is there an auto top up option?,automatic_top_up
Why is there a fee associated with card use?,card_payment_fee_charged
Is it normal to be charged an extra fee when paying with my card?,card_payment_fee_charged
"I am having a slight problem with my American express in apple play, can you help me fix the problem with top up?",apple_pay_or_google_pay
Where do I need to go to change my PIN?,change_pin
The payment on my card shows as pending.,pending_card_payment
There is an urgent transfer I need to make from China.  How long will it take to get it processed?,transfer_timing
Is there a reason my new card hasn't arrived?,card_arrival
"Hi, i just topped up my phone and the money was deducted but it seems to have deducted the same amount again! please help!",top_up_reverted
Where is the verification code display?,verify_top_up
I paid with card and I was charged a fee,card_payment_fee_charged
Why do I have two charges It should only be one charge?,transaction_charged_twice
How to order a virtual card,getting_virtual_card
Can you refund my purchase?,request_refund
Are SWIFT transfers supported?,top_up_by_bank_transfer_charge
How to edit personal details?,edit_personal_details
how much for topping up by card?,top_up_by_card_charge
My card no longer works.,card_not_working
My cash withdrawal was not entirely complete,wrong_amount_of_cash_received
Can you please explain how bank transfers work?,transfer_into_account
"I tried to take out some money from an ATM earlier today and it was declined. Looking on my screen now, I still see that it's pending for that amount. I didn't actually get that money, so I don't want it processed on my account.",pending_cash_withdrawal
atm ate my card,card_swallowed
What is the charge for receiving a SEPA transfer?,top_up_by_bank_transfer_charge
I transferred money but the balance hasn't changed.,balance_not_updated_after_bank_transfer
Does it cost anything to transfer money for a top-up?,top_up_by_bank_transfer_charge
Any chance of getting the card outside the UK?,country_support
I tried to transfer funds to a beneficiary and was denied. Can you tell me why?,beneficiary_not_allowed
My purchases from this morning still have pending payments.,pending_card_payment
"app malfunctioning, does not know its me",unable_to_verify_identity
I would like to request a card.,order_physical_card
Is it possible to do auto top up?,automatic_top_up
What is the fee for a cash withdrawal?,cash_withdrawal_charge
Where is this card accepted?,card_acceptance
I couldn't transfer money to a beneficiery,beneficiary_not_allowed
I am still waiting to find out the status of my refund. I have made previous attempts to find out what the status is to no avail. Will you please look into this for me?,Refund_not_showing_up
I have a payment that has not gone through yet,pending_card_payment
Does the auto top-up have any limits?,automatic_top_up
What happens if my card payment is cancelled?,reverted_card_payment?
Can I stop a transaction?,cancel_transfer
how to get virtual card,getting_virtual_card
What is the procedure of unblocking my PIN?,pin_blocked
I entered in the wrong PIN.  Please help me unlock my account.,pin_blocked
I can't find the card PIN.,get_physical_card
"I'm looking at my statement, and my refund is not on there.",Refund_not_showing_up
Please provide me with the restrictions of the disposable cards.,disposable_card_limits
I need my card ASAP!,card_delivery_estimate
Where can I find my PIN? I haven't gotten it yet.,get_physical_card
How long will my top-up be pending?,pending_top_up
I don't understand why I was charged extra for withdrawing money?,cash_withdrawal_charge
My daughter would like a card from my account?  Can I do this?,getting_spare_card
"I saw on the app that a cash withdrawal was completed on my account; however, I did not complete it.",cash_withdrawal_not_recognised
My money didnt go through after I transferred.,beneficiary_not_allowed
The balance has not been updated.,balance_not_updated_after_bank_transfer
I need to withdraw money. Where can I do that?,atm_support
Is my card actually working? It's the first time I tried using it,declined_cash_withdrawal
I lost my wallet and I think someone is withdrawing cash with my card. Please help. It is urgent.,cash_withdrawal_not_recognised
should i contact customer support if i can't edit details,edit_personal_details
Exchange rate for my card payment is wrong,card_payment_wrong_exchange_rate
When will my transfer post to my account?,transfer_timing
The ATM keeps declining my Transaction . I tried two different ATMs already Would you please check if everything is okay with my account?,declined_cash_withdrawal
How can I receive money from someone?,receiving_money
What is the length of time for one of these items to come to the U.S?,card_delivery_estimate
Can you make exchanges with the EUR?,fiat_currency_support
Can I top up any amount?,top_up_limits
Where do I go to change my account details?,edit_personal_details
I want to get my hands on one of those virtual cards!,getting_virtual_card
Do you give out Visa or Mastercards?,visa_or_mastercard
How do I verify the top up?,verify_top_up
"There was just a withdrawal but it wasn't me, I've never even visited the town where the withdrawal happened.",cash_withdrawal_not_recognised
Why was one of my transfers declined?,declined_transfer
Would I be able to top up as much as I can?,top_up_limits
I am seeing in the App a payment that its not mine,card_payment_not_recognised
How can i get new card?,contactless_not_working
What are the top-up fees for my card?,top_up_by_card_charge
I could not get the top-up to go through,top_up_failed
I see an unfamiliar payment on my statement.,card_payment_not_recognised
What do I do if I think someone has used my card without permission? I can see a few transactions I don't recognize.,compromised_card
Does it cost extra to send out more than one card?,getting_spare_card
Why is my top-up pending?,pending_top_up
Why hasn't my money transfer showed up yet?,balance_not_updated_after_bank_transfer
What's the maximum amount I can top up my card with please?,top_up_limits
"I made a transfer and the receiver said an amount was received, but not exactly the same as the right amount. I now have to transfer more to get the remainder to the receiver. Can you alert me about this. What's been happening?",transfer_fee_charged
What do I do after my card expires?,card_about_to_expire
Why are the things I bought earlier today still showing as pending?,pending_card_payment
I can't get my virtual card to work.,virtual_card_not_working
How is my ATM deposit not available yet?,pending_cash_withdrawal
It seems I need to get information on limits for top-ups.,top_up_limits
Why doesn't my card work for any transactions?,card_not_working
There was a charge made on my card from a couple weeks ago and I don't remember making the purchase. Nor do I remember the company itself. Can we trace this at all to confirm if I did it or not?,direct_debit_payment_not_recognised
Are there limitations to what currency I can hold?,fiat_currency_support
I don't have the device I used to log onto the platform so I can't access it.,lost_or_stolen_phone
what steps do you take to check identity,verify_my_identity
Can I tell what business will take this card?,card_acceptance
"A WD was just made on my account, but it was not me and I still have my card.  What to do?",cash_withdrawal_not_recognised
I think someone stole my card number and brought stuff in different places that I have never been to. I need to suspend any further purchase on my credit card.,compromised_card
"I made a mistake when making my last transfer, please cancel before it goes thru.",cancel_transfer
What is the way to go about getting a virtual card?,getting_virtual_card
My transfer has been pending for a long time now. I already double checked my account info and it is correct. Why is it taking so long in 2018 to transfer money?,pending_transfer
Help! My account doesn't show any funds. Is transferring funds an option I can use?,transfer_into_account
Why isn't my card working anymore?,card_not_working
what is the exchange rate for foreign ATMs,wrong_exchange_rate_for_cash_withdrawal
"The exchange rate you're using is terrible - this can't be the official interbank exchange rate, can it?",card_payment_wrong_exchange_rate
how many uses are the disposable cards good for?,disposable_card_limits
The exchange rate I was charged for a purchase was not right.,card_payment_wrong_exchange_rate
"There's an extra fee on my statement, why is that?",extra_charge_on_statement
I want to start using my card.,activate_my_card
How long will it take for the money to reach my account?,transfer_timing
Do you take both Visa and Mastercard?,visa_or_mastercard
I'm not sure if my pop-up went through.,top_up_failed
Can you unblock my pin because I put the wrong one too many times.,pin_blocked
I would like to get additional physical cards at this time,getting_spare_card
How long does it take to receive my card?,card_delivery_estimate
What is happening?  I have tried to transfer money 5x already.  Is the system down?  This shouldnt be happening as this is a basic transfer.,failed_transfer
How are top-ups verified?,verify_top_up
The ATM stole my card!,card_swallowed
The exchange rate applied was incorrect when I was traveling outside the country.,wrong_exchange_rate_for_cash_withdrawal
How do I delete an account?,terminate_account
"For my account, how do I transfer money in?",transfer_into_account
I had a decline on my card. Why?,declined_card_payment
"Hi, I used an ATM today to take money out of my account, but the amount it gave me is not the amount I requested. What should I do?",wrong_amount_of_cash_received
"I was abroad and needed some cash, but I think the wrong exchange rate was applied to the transaction.",wrong_exchange_rate_for_cash_withdrawal
I ordered my card but it still isn't here,card_arrival
How long is the delivery time to the US?,card_delivery_estimate
I refuse to verify my identity.,why_verify_identity
Why am I getting charged more for using my card?,card_payment_fee_charged
what I need to verify my account,why_verify_identity
I used the wrong account number!,cancel_transfer
can I use my card before identity verification?,why_verify_identity
Why is my disposable card not working?,virtual_card_not_working
I bought something on line a and the seller hasn't received the money I sent could you please tell me how long an EU transfer takes?,pending_transfer
How do I get a PIN?,get_physical_card
"My cash withdrawal is showing as pending, why?",pending_cash_withdrawal
I can not find my phone or it has been stolen.,lost_or_stolen_phone
I am unable to get cash from the ATM,declined_cash_withdrawal
How old do I need to be?,age_limit
I am seeing in the App a some cash withdrawal that I did not do,cash_withdrawal_not_recognised
How do I add my new card to the app?,card_linking
What are the steps I need to do if I have a stolen card?,lost_or_stolen_card
Is there a limit for age?,age_limit
I received a message from a seller stating they hadn't received my money even though it definitely came out of my account. The money has now been deposited back into my account. Please get this resolved as soon as possible.,reverted_card_payment?
"My card payment was reverted, why?",reverted_card_payment?
I thought you guys offered free transfers. Why was I charged?,transfer_fee_charged
How can I fix my card if the contactless function didn't work this morning?,contactless_not_working
I have two of the same charges on my account!,transaction_charged_twice
How do I replace a stolen card?,lost_or_stolen_card
Can I top up my account with Google Pay?,apple_pay_or_google_pay
Please specify any limitations that come along with disposable cards.,disposable_card_limits
I received the wrong amount of cash back,wrong_amount_of_cash_received
I can't find my card! Can you help?,lost_or_stolen_card
